Slice_Type,SLA_Respected,QoS_Probability,Aggregated_QoS_Score,premium_intent_score,premium_intent_flow,is_best_effort_slice,iso_score,ae_score,ensemble_score,ensemble_anomaly,proxy_anomaly_label
0,0,0.6048119545382388,0.2981807741866894,203.74999996475,1,0,0.6064219418700084,0.9999999999999922,0.7835320680285012,1,0
0,0,0.2039491774526615,0.2447299333694534,203.74999996475,1,0,0.8434063682685692,0.6825414355513043,0.7710171485458001,1,0
0,0,0.2489732915335332,0.2987588702664994,203.74999996475,1,0,0.8540200165016493,0.5024195972343134,0.6957998278313482,1,0
0,0,0.2499125763826898,0.2998860120854873,203.74999996475,1,0,0.9716120508798727,0.15443508216632745,0.6038824149587774,1,0
0,0,0.0898242008564739,0.1077799614540282,203.74999996475,1,0,0.9999999968340058,0.06755194285575795,0.5803983725437942,1,0
0,0,0.2499860411664557,0.2999741698260064,203.74999996475,1,0,0.9845345796603983,0.05956704896225992,0.568299190846236,1,0
0,0,0.2499189457902561,0.2998936553745668,203.74999996475,1,0,0.9891536078933041,0.04823919940502303,0.5657421240735776,1,0
0,0,0.2053189124384209,0.2463736153523645,203.74999996475,1,0,0.9504053212409312,0.08722904002841324,0.5619759946952981,1,0
0,0,0.2493232846739425,0.2991788620349906,203.74999996475,1,0,0.9072250490260159,0.13571080317873804,0.5600436383947409,1,0
0,0,0.248984075062087,0.2987718105007639,203.74999996475,1,0,0.8867928402653137,0.14304098399906515,0.5521045049455019,1,0
0,0,0.2498493471079396,0.2998101369557871,203.74999996475,1,0,0.933684978134917,0.08405793182934253,0.5513528072974085,1,0
0,0,0.2495815059043098,0.2994887275114313,203.74999996475,1,0,0.9287824793219297,0.08559146815488787,0.5493465242967609,1,0
0,0,0.2452838596997675,0.2943315520659805,203.74999996475,1,0,0.8958190342698533,0.12023206073131434,0.5468048961775108,1,0
0,0,0.2497309358796124,0.2996680434817944,203.74999996475,1,0,0.9466094283797345,0.05573415620755284,0.5457155559022528,1,0
0,0,0.3963561113788474,0.4169947135067847,200.35024999965,0,0,0.9702501755364874,0.01674432599915535,0.5411725432446881,1,0
0,0,0.1291863948980074,0.1550145943038685,203.74999996475,1,0,0.9260245141997757,0.028600518347390313,0.5221837160662023,1,0
0,0,0.3623889237610923,0.3898736343695907,200.35024999965,0,0,0.9455991982938644,0.00398123262422591,0.5218711137425271,1,0
0,0,0.1784483736586269,0.2141289688166118,203.74999996475,1,0,0.9237432111511826,0.029636979503112743,0.5213954069095512,1,0
0,0,0.2348393673570258,0.2817981612546905,203.74999996475,1,0,0.9095028502388972,0.04076777376616805,0.5185720658261691,1,0
0,0,0.3709378501376772,0.3962087401783331,200.35024999965,0,0,0.9233711293873321,0.022203729887122457,0.5178457996122379,1,0
0,0,0.1832272542945152,0.2198636255796778,203.74999996475,1,0,0.8911100821819904,0.06037725202279231,0.5172803086103513,1,0
0,0,0.2499003566207903,0.2998713483712079,203.74999996475,1,0,0.9103171570531673,0.03400957491965538,0.5159787450930869,1,0
0,0,0.1877669188127208,0.2253112230015245,203.74999996475,1,0,0.8925905919219661,0.05129975405916619,0.5140097148837062,1,0
0,0,0.1126220972099314,0.1351374370781772,203.74999996475,1,0,0.9139720710437141,0.02499334396842256,0.5139316438598329,1,0
0,0,0.1247716582294491,0.126735674243071,200.35024999965,0,0,0.9265152596793816,0.004632990800254872,0.5116682386837746,1,0
0,0,0.2605604387654748,0.2811267516696444,200.35024999965,0,0,0.9214498785490903,0.010496557921406323,0.5115208842666327,1,0
0,0,0.231729375419253,0.2780661709293631,203.74999996475,1,0,0.8681356616335232,0.07369586803611476,0.5106377545146894,1,0
0,0,0.17161130343481,0.1854944871547556,200.35024999965,0,0,0.9182329249011247,0.010968662083693438,0.5099640066332807,1,0
0,0,0.3758298554409872,0.3995733397220266,200.35024999965,0,0,0.9109042629727507,0.018774354643518187,0.5094458042245962,1,0
1,0,0.1726778816646846,0.2236555448618655,200.35034999975,1,0,0.9166324961010337,0.003997875789811013,0.5059469169609836,1,0
0,0,0.2193484578819581,0.2632090698846092,203.74999996475,1,0,0.8850869311313913,0.04250446434080514,0.5059248210756275,1,0
0,0,0.3192437993807458,0.3383122261613758,200.35024999965,0,0,0.8969227246952085,0.022872570774966426,0.5036001554310996,1,0
0,0,0.1926779350872383,0.216315059254766,200.35024999965,0,0,0.9064818470923188,0.010421847449009447,0.5032548472528297,1,0
0,0,0.2491024146671094,0.2989138180267909,203.74999996475,1,0,0.7616022542273534,0.18248155391281737,0.5009979390858121,1,0
0,0,0.2499645572074121,0.2999483890751541,203.74999996475,1,0,0.8811423161779615,0.03283060113344762,0.49940204440793023,1,0
0,0,0.2869234261344348,0.3294871771769571,200.35024999965,0,0,0.9007162101949512,0.008327294627494061,0.4991411981895955,1,0
0,0,0.2495118729991113,0.2994051680251932,203.74999996475,1,0,0.8822060436668347,0.030512864762650888,0.4989441131599521,1,0
0,0,0.2648358569178671,0.3117169166147893,200.35024999965,0,0,0.8906876876158931,0.01811411459148225,0.4980295797549083,1,0
0,0,0.2151189636116798,0.2581336767602752,203.74999996475,1,0,0.8658216275396902,0.04547217075619425,0.49666437198711705,1,0
0,0,0.247489155737255,0.2969779073109656,203.74999996475,1,0,0.8594283875329668,0.05260763916883872,0.4963590507691092,1,0
0,0,0.2279142102106587,0.27348797267905,203.74999996475,1,0,0.8605899430181444,0.0488761612272037,0.49531874121222114,1,0
0,0,0.2439873723322557,0.2927757672249664,203.74999996475,1,0,0.8470583560360155,0.06412635261693726,0.4947389544974304,1,0
0,0,0.2174605593116502,0.2609435916002398,203.74999996475,1,0,0.870354033111198,0.03521717369048788,0.4945424463718785,1,0
0,0,0.1669268856437794,0.2003031831987948,203.74999996475,1,0,0.875956396426394,0.02695371290945058,0.4939051888437695,1,0
0,0,0.2037761168898293,0.2445222606940547,203.74999996475,1,0,0.860726306972263,0.04437552373504439,0.4933684545155147,1,0
0,0,0.2060539958370675,0.2472557154307404,203.74999996475,1,0,0.8686549932569894,0.03214914221028766,0.49222736028597364,1,0
0,0,0.248966432059576,0.2987506388977508,203.74999996475,1,0,0.8682617821473051,0.03185270535506194,0.4918776975907957,1,0
0,0,0.2493998791966491,0.2992707754622384,203.74999996475,1,0,0.8643209623402293,0.03666607898778698,0.49187626483163027,1,0
0,0,0.2489948508719991,0.2987847414726585,203.74999996475,1,0,0.8607061817393965,0.041051885233754984,0.49186174831185786,1,0
0,0,0.421693640007276,0.4367273735243895,200.35024999965,0,0,0.8825064251830333,0.010999066624034418,0.49032811383148384,1,0
4,0,0.1204964063009748,0.1656573165233285,200.35034999975,1,1,0.8822833156517895,0.011152664009107891,0.49027452241258285,1,1
0,0,0.2499687697469735,0.2999534441226277,203.74999996475,1,0,0.8759805072233524,0.017708291653563593,0.4897580102169475,1,0
