Packet Loss Budget;Latency Budget (μs);Jitter Budget (μs);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (μs);Slice Packet Loss;Slice Jitter (μs);Slice Type;Slice Handover;Latency_Gap;Packet_Loss_Gap;Jitter_Gap;SLA_Respected;Rate_Gap;Latency_Score;Packet_Loss_Score;Jitter_Score;Rate_Score;QoS_Probability;Efficiency_Index;Latency_Stress_Ratio;Mobility_Jitter_Impact;Bandwidth_Usage_Ratio;Aggregated_QoS_Score
1e-06;1.0;1000.0;1000.0;0;0;1058.7006596724027;0.9468285421676446;6.54817306435034e-07;674.2719514141909;0;1;0.05317145783235544;3.45182693564966e-07;325.7280485858091;0;58.70065967240271;0.5132897335267593;0.5853652151826949;0.5807195836668533;0.5146709524358085;0.5485113712030291;1704832760.80839;0.0531714577791839;0.0;1.058700659671344;0.5343976173930864
0.0;1000.0;1.0;1000.0;0;1;1273.2991068216538;619.4358985283088;0.0;0.6895425749755647;4;0;380.5641014716912;0.0;0.3104574250244353;0;273.2991068216538;0.5940091501420113;0.5;0.5769969093874576;0.5679026509113387;0.559727177610202;1273299106821.6538;0.3805641014713106;0.0;1.2732991068203805;0.5733738372076977
1e-06;1000.0;1.0;1000.0;1;0;1416.485573237039;694.6917322289748;1.1210247864971644e-07;0.4721353344847467;1;1;305.30826777102516;8.878975213502835e-07;0.5278646655152532;0;416.48557323703903;0.5757396513662917;0.7082728619117219;0.6289849414270962;0.602641973314291;0.6289098570048502;18188598.38409242;0.3053082677707198;0.4721353344847467;1.4164855732356223;0.6077127270173953
1e-05;1000.0;1.0;1000.0;0;1;1102.1271847548596;694.5733227076234;8.538931842355776e-06;0.7304696006989786;3;1;305.42667729237655;1.4610681576442252e-06;0.2695303993010214;1;102.12718475485963;0.5757685742316048;0.5364582308924729;0.5669776149820046;0.5255096280046824;0.5511785120276912;183387.45632893997;0.1438525819252696;0.0;1.367781847337699;0.5860760630171398
1e-06;1.0;1000.0;1000.0;0;0;1351.847964108547;0.6835624045695106;3.441596112290224e-07;684.0621848800696;0;1;0.31643759543048944;6.558403887709775e-07;315.9378151199304;0;351.8479641085471;0.5784558222923366;0.6581779833163511;0.578333948821348;0.5870656335537618;0.6005083469959493;5721997064.671819;0.3164375951140518;0.0;1.3518479641071952;0.588986607078968
0.0;1000.0;1.0;1000.0;0;1;1186.3760764139934;928.6216813473509;0.0;0.5815745110988984;4;0;71.37831865264911;0.0;0.41842548890110165;0;186.37607641399336;0.51783700721175;0.5;0.603106421766718;0.5464596116459617;0.5418507601561073;1263678828595.933;0.254414050116879;0.0;1.2636788285946696;0.552419264914674
1e-06;1.0;1000.0;1000.0;0;0;1306.217187996294;0.8191561455662784;3.093324412756856e-07;230.57203561358693;0;1;0.18084385443372164;6.906675587243143e-07;769.4279643864131;0;306.2171879962939;0.5450881483801046;0.665961939546934;0.6833971379569942;0.5759616521083692;0.6176022194981006;2611769410.185313;0.1485571954912574;0.0;1.499044856957854;0.5930390318400122
1e-06;1000.0;1.0;1000.0;1;0;1054.9442976469054;820.8729058405328;2.2853089393424153e-07;0.11545797757686396;1;1;179.12709415946722;7.714691060657584e-07;0.8845420224231361;0;54.9442976469054;0.5446624155793897;0.683671953969987;0.7077625545912694;0.513732619829335;0.6124573859924953;2136977.019337677;0.1294494770499349;0.340155258697385;1.4722423702009368;0.5847378326973305
1e-05;1000.0;1.0;1000.0;0;1;1476.655390549281;758.1959488625718;2.3177072482248634e-06;0.3597412651509379;3;1;241.80405113742825;7.682292751775138e-06;0.640258734849062;1;476.65539054928104;0.5601581813019987;0.6831210982762045;0.6548119454856999;0.6169577835338704;0.6287622521494434;840308.7183297279;0.2418040511371864;0.0;1.4766553905478044;0.6084251065057211
0.0;1000.0;1.0;1000.0;0;1;1326.9329977446787;744.5624634708548;0.0;0.2264420623461659;4;0;255.43753652914518;0.0;0.7735579376538341;0;326.9329977446787;0.5635144083261139;0.5;0.6842900439000398;0.5810129413598112;0.5822043483964913;1326932997744.6787;0.2554375365288897;0.0;1.3269329977433515;0.5865676545183969
1e-06;1000.0;1.0;1000.0;1;0;1130.3678487582142;518.1824810136885;8.217722363970266e-07;0.2934982620764077;1;1;481.8175189863115;1.782277636029734e-07;0.7065017379235923;1;130.36784875821422;0.6181769634640564;0.5443952067642408;0.6696277113436989;0.5325458800340989;0.5911864404015237;2654511.3454264514;0.4818175189858297;0.2934982620764077;1.1303678487570838;0.5953996123410161
1e-06;1000.0;1.0;1000.0;1;0;1231.398811653695;749.7185468709304;5.004998917479905e-07;0.8044889018818379;1;1;250.28145312906963;4.995001082520095e-07;0.19551109811816214;1;231.39881165369502;0.5622457748807573;0.6222245589741076;0.5487226729179803;0.5575929454721215;0.5726964880612416;3281673.198081884;0.2502814531288193;0.8044889018818379;1.2313988116524637;0.5641431840749462
0.0;1000.0;1.0;1000.0;0;1;1415.6644461710086;544.8903134619537;0.0;0.2799873380866125;4;0;455.1096865380463;0.0;0.7200126619133875;0;415.66444617100865;0.611853418646895;0.5;0.6726098051427681;0.6024453258662776;0.5967271374139851;1415664446171.0083;0.4551096865375911;0.0;1.415664446169593;0.6099969262471949
1e-07;0.1;1.0;1000.0;0;0;4025.371095436612;1874.006369052556;0.0003224736238303;1311.6073494355776;0;1;-1873.906369052556;-0.0003223736238303;-1310.6073494355776;0;3025.371095436612;4.5397868702434395e-05;4.5397868702434395e-05;4.5397868702434395e-05;0.953707236678454;0.23846085757114033;6661.018846469708;-18739.063503134927;0.0;4.025371095432587;0.2861439495116279
1e-05;1000.0;1.0;1000.0;0;1;1010.1306116991695;576.9133176595038;6.813924184753393e-06;0.6658278827464152;3;1;423.08668234049617;3.1860758152466076e-06;0.33417211725358476;0;10.130611699169549;0.604221629398986;0.5789771059998989;0.5827741695292514;0.5025326312646471;0.5671263840481958;499487.9754923589;0.1916138753676566;0.0;1.0198695322514255;0.5643980547402678
1e-05;1000.0;1.0;1000.0;0;0;1262.5733043863404;731.7836804833652;3.3114181546489384e-06;0.8273701348784935;2;1;268.2163195166348;6.688581845351062e-06;0.17262986512150647;0;262.5733043863404;0.566654961713576;0.6612324594522976;0.5430506064558347;0.5652687614722911;0.5840516972734999;258376.9621753432;0.4004956802128938;0.0;1.067815189527287;0.5722836003452708
1e-06;1000.0;1.0;1000.0;1;0;1001.934912972246;674.7308825223253;6.588569220383761e-07;0.8274338774794096;1;1;325.26911747767474;3.411430779616239e-07;0.17256612252059045;1;1.9349129722460248;0.5806078369871756;0.5843853921187095;0.543034788899871;0.5004837280921424;0.5521279365244747;2253807.562450557;0.3252691174773495;0.8274338774794096;1.0019349129712445;0.5494337502143581
1e-07;0.1;1.0;1000.0;0;0;1343.7845099712586;0.059412379330663;3.954885648965209e-08;0.2513799900446318;0;1;0.04058762066933701;6.04511435103479e-08;0.7486200099553681;0;343.78450997125856;0.6000986586291549;0.6453190455802194;0.6788779317685978;0.5851095317430217;0.6273512919302484;401166628102.0901;0.4058762026346075;0.0;1.3437845099699148;0.6158798138863099
1e-05;1000.0;1.0;1000.0;0;0;1166.6111829783345;689.7900782137791;5.353958616673724e-06;0.48243000972142014;2;1;310.2099217862209;4.646041383326277e-06;0.5175699902785799;0;166.61118297833445;0.5769364998315895;0.6140948266338448;0.6265793733094552;0.5415567081445504;0.5897918519798601;318706.9698588325;0.4110937670395047;0.0;1.0458574176149718;0.5678992981653718
1e-05;1000.0;1.0;1000.0;0;1;1061.259622847205;616.4888006204693;8.93897875344242e-06;0.6890212643482269;3;1;383.5111993795307;1.0610212465575805e-06;0.31097873565177314;0;61.25962284720504;0.5947196816219543;0.5264980296888583;0.5771241413316869;0.51531011810173;0.5534129926860574;192578.79543872512;0.3835111993791472;0.0;1.0612596228461435;0.5605555393145238
1e-05;1000.0;1.0;1000.0;0;0;1058.1191449931143;660.18383283392;2.884354665776859e-06;0.1525269299410833;2;1;339.81616716608005;7.115645334223142e-06;0.8474730700589167;0;58.11914499311433;0.5841458670510756;0.6707310590881358;0.7000367925637199;0.5145256976942425;0.6173598540992935;4596.996616557158;-1.299553780348057;0.0;6.269742392392069;0.3841740889184222
