Packet Loss Budget,Latency Budget (μs),Jitter Budget (μs),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (μs),Slice Packet Loss,Slice Jitter (μs),Slice Type,Slice Handover,Latency_Gap,Packet_Loss_Gap,Jitter_Gap,SLA_Respected,Rate_Gap,Latency_Score,Packet_Loss_Score,Jitter_Score,Rate_Score,QoS_Probability,Efficiency_Index,Latency_Stress_Ratio,Mobility_Jitter_Impact,Bandwidth_Usage_Ratio,Aggregated_QoS_Score,Latency_Gap_Calc,Packet_Loss_Gap_Calc,Jitter_Gap_Calc,Rate_Gap_Calc,congestion_class
1e-06,1.0,1000.0,1000.0,0,0,1058.7006596724027,0.9468285421676446,6.54817306435034e-07,674.2719514141909,0,1,0.0531714578323554,3.45182693564966e-07,325.7280485858091,0,58.70065967240271,0.5132897335267593,0.5853652151826949,0.5807195836668533,0.5146709524358085,0.5485113712030291,1704832760.80839,0.0531714577791839,0.0,1.058700659671344,0.5343976173930864,0.05317145783235544,3.45182693564966e-07,325.7280485858091,58.70065967240271,1
0.0,1000.0,1.0,1000.0,0,1,1273.2991068216538,619.4358985283088,0.0,0.6895425749755647,4,0,380.5641014716912,0.0,0.3104574250244353,0,273.2991068216538,0.5940091501420113,0.5,0.5769969093874576,0.5679026509113387,0.559727177610202,1273299106821.6538,0.3805641014713106,0.0,1.2732991068203805,0.5733738372076977,380.5641014716912,0.0,0.3104574250244353,273.2991068216538,1
1e-06,1000.0,1.0,1000.0,1,0,1416.485573237039,694.6917322289748,1.1210247864971644e-07,0.4721353344847467,1,1,305.3082677710252,8.878975213502835e-07,0.5278646655152532,0,416.48557323703903,0.5757396513662917,0.7082728619117219,0.6289849414270962,0.602641973314291,0.6289098570048502,18188598.38409242,0.3053082677707198,0.4721353344847467,1.4164855732356223,0.6077127270173953,305.30826777102516,8.878975213502835e-07,0.5278646655152532,416.48557323703903,0
1e-05,1000.0,1.0,1000.0,0,1,1367.7818473390669,856.1474180745865,8.7116135041818e-06,0.1234225327554594,3,1,143.85258192541346,1.2883864958182008e-06,0.8765774672445406,1,367.78184733906687,0.535901256407026,0.5321619738301919,0.7061124863400479,0.590922886011002,0.591274650647067,183387.45632893997,0.1438525819252696,0.0,1.367781847337699,0.5860760630171398,143.85258192541346,1.2883864958182008e-06,0.8765774672445406,367.78184733906687,1
1e-06,1.0,1000.0,1000.0,0,0,1351.847964108547,0.6835624045695106,3.441596112290224e-07,684.0621848800696,0,1,0.3164375954304894,6.558403887709775e-07,315.9378151199304,0,351.8479641085471,0.5784558222923366,0.6581779833163511,0.578333948821348,0.5870656335537618,0.6005083469959493,5721997064.671819,0.3164375951140518,0.0,1.3518479641071952,0.588986607078968,0.31643759543048944,6.558403887709775e-07,315.9378151199304,351.8479641085471,0
0.0,1000.0,1.0,1000.0,0,1,1263.6788285959333,745.5859498828665,0.0,0.8506815588501934,4,0,254.41405011713343,0.0,0.1493184411498066,0,263.6788285959333,0.5632626492053325,0.5,0.5372604061375338,0.5655404133501141,0.5415158671732451,1263678828595.933,0.254414050116879,0.0,1.2636788285946696,0.552419264914674,254.41405011713346,0.0,0.14931844114980664,263.6788285959333,1
1e-06,1.0,1000.0,1000.0,0,0,1499.0448569593532,0.8514428043601854,6.729255090988549e-07,304.3767321532813,0,1,0.1485571956398146,3.27074490901145e-07,695.6232678467187,0,499.0448569593532,0.5370711462671043,0.5809678428802686,0.6672166810241903,0.6222348428010183,0.6018726282431452,2611769410.185313,0.1485571954912574,0.0,1.499044856957854,0.5930390318400122,0.14855719563981462,3.27074490901145e-07,695.6232678467187,499.0448569593532,0
1e-06,1000.0,1.0,1000.0,1,0,1472.2423702024091,870.5505229499356,7.913795970386389e-07,0.340155258697385,1,1,129.4494770500644,2.08620402961361e-07,0.659844741302615,0,472.2423702024091,0.5323172530604696,0.5519152197596401,0.6592255107280978,0.6159143578385304,0.5898430853466845,2136977.019337677,0.1294494770499349,0.340155258697385,1.4722423702009368,0.5847378326973305,129.4494770500644,2.08620402961361e-07,0.659844741302615,472.2423702024091,1
1e-05,1000.0,1.0,1000.0,0,1,1476.655390549281,758.1959488625718,2.3177072482248634e-06,0.3597412651509379,3,1,241.80405113742825,7.682292751775138e-06,0.640258734849062,1,476.655390549281,0.5601581813019987,0.6831210982762045,0.6548119454856999,0.6169577835338704,0.6287622521494434,840308.7183297279,0.2418040511371864,0.0,1.4766553905478044,0.6084251065057211,241.80405113742825,7.682292751775138e-06,0.640258734849062,476.65539054928104,0
0.0,1000.0,1.0,1000.0,0,1,1326.9329977446787,744.5624634708548,0.0,0.2264420623461659,4,0,255.4375365291452,0.0,0.7735579376538341,0,326.9329977446787,0.5635144083261139,0.5,0.6842900439000398,0.5810129413598112,0.5822043483964913,1326932997744.6787,0.2554375365288897,0.0,1.3269329977433515,0.5865676545183969,255.43753652914518,0.0,0.7735579376538341,326.9329977446787,1
1e-06,1000.0,1.0,1000.0,1,0,1130.3678487582142,518.1824810136885,8.217722363970266e-07,0.2934982620764077,1,1,481.8175189863115,1.782277636029734e-07,0.7065017379235923,1,130.36784875821422,0.6181769634640564,0.5443952067642408,0.6696277113436989,0.5325458800340989,0.5911864404015237,2654511.3454264514,0.4818175189858297,0.2934982620764077,1.1303678487570838,0.5953996123410161,481.8175189863115,1.782277636029734e-07,0.7065017379235923,130.36784875821422,1
1e-06,1000.0,1.0,1000.0,1,0,1231.398811653695,749.7185468709304,5.004998917479905e-07,0.8044889018818379,1,1,250.28145312906963,4.995001082520095e-07,0.1955110981181621,1,231.39881165369505,0.5622457748807573,0.6222245589741076,0.5487226729179803,0.5575929454721215,0.5726964880612416,3281673.198081884,0.2502814531288193,0.8044889018818379,1.2313988116524637,0.5641431840749462,250.28145312906963,4.995001082520095e-07,0.19551109811816214,231.39881165369502,1
